title
안산국제거리극축제 지역경제 활성화 기여...카드 사용 28.2% 증가
여름 해수욕장에 뜬 드론… 공연·인명구조에 음식배달까지 ‘척척’
"국립정동극장 × 예술경영지원센터 MOU 체결…""SPAF 정동세실극장서 공연"""
먹자골목 조성 등 증산상권 활성화 시동
"의성군, 관광지 활성화 버스킹 공연…""다채롭게 준비"""
횡성군 도시재생 활성화 워크숍 26~27일 연다
안산국제거리극축제 지역경제 활성화 기여...카드 사용 28.2% 증가
"충북경자청, 오송 국제학교 설립과 MICE산업 활성화 추진"
"의성군, 관광지 활성화 버스킹 공연 개최"
"목포시, 목포항구버스킹으로 거리공연 활성화 기대"
"20년 넘게 폐교 활성화…이제 와서 ""팔 거니 나가라"""
"목포시, 목포항구버스킹으로 거리공연 활성화 기대"
"포천시, 일본 호쿠토시와 화상회의...""국제교류 활성화"""
"'공연 브랜드' 노머시페스트, ‘2022 전주얼티밋뮤직페스티벌(JUMF)’와 협업"
여수세계박람회장 활성화로 '신해양 수도 전남' 활짝 연다
"동서대-부산진문화재단, 서면 곳곳서 뮤지컬 공연 펼쳐"
"서울시, 광화문광장 개장기념행사 '광화문광장 빛모락(樂)' 공연 개최"
‘목포항구 버스킹’ 공연 매주 금·토·일 진행
청와대를 ‘한국의 베르사유’로?…‘미술관+야외공연장’ 된다
제18회 안산국제거리극축제 지역 경제 활성화 기여...안산문화광장 카드 소비 28% 증가
"의정부 음악도서관, 30일 '비엔나에서 뉴올리언스를 만나다' 공연"
서구 ‘찾아가는 환경 뮤지컬’ 공연 마무리
"전남도, 여수세계박람회장 활성화 다짐"
"""기부문화 활성화 위해""… 평택시, 기부천사 위한 '온라인 기부자 명예의 전당' 개설"
‘공연예술 메카’ 대학로 명성 되찾을까? 공공극장 ‘쿼드’ 개관 “신대학로 시대 열겠다”
[여주소식] 디지털 학당 수강생 모집·시의회 임시회 개회·여주세종문화재단 공연
"양산시, '소상공인 증산상권 활성화 사업' 본격 추진"
"전남도, 여수세계박람회장 활성화로 ‘신해양~ 수도 전남’ 다짐"
어르신들 찾아온 국악공연… 입가에 미소가 절로
"경산공설시장 별찌야시장 개장, 문화관광형시장 육성사업으로 전통시장 활성화 추진"
전북 문화계에 다시 드리운 코로나 그림자…공연 잇따라 취소
"남해군, 도시재생 문화공연 '남해가 버스킹' 진행"
"만안구청, ‘어게인 안양일번가 거리공연’ 참가자 모집"
"무주군, 추경예산 772억원 편성…""경제 활성화 중점"""
"경남문화예술회관, 팔도보부상 ‘이야기보따리’ 공연한다"
제주4·3국제네트워크 창립...국제운동 활성화 기대
직장인 ‘소리없는 증세’ 문제 보완…기업 투자 활성화 대책도 [尹정부 첫 세제개편안]
청주한국공예관 지역공연 활성화 지원 시작
"'무장애공연부터 로봇지휘까지'…국립극장, 61편 공연 무대에"
'2022 대한민국 웨딩문화 산업전' 축하 공연
"의성군, 펫월드·빙계얼음계곡서 버스킹 공연"
"대전연정국악원, 28일 '판소리 다섯마당, 오색유파전' 세번째 공연"
전기차 레이스부터 K팝 공연까지…8월 서울은 축제도시 된다
"장수군, ‘넝쿨째 굴러온 예술마당’ 21일 한누리전당서 공연"
관악구 ‘2022 오픈스테이지 in 관악’ 지역 주민에 문화 선물···킹스턴루디스카 등 공연 이어져
29일~11월 5일...‘2022 M 인디열전’ 12팀 공연
무주군 지역경제 활성화 위해 야시장 운영
장흥군 '시원하게 즐기자' 강변음악회 공연
"부천시, '도시재생 공모사업' 전통무용 공연 주민 눈길"
해양관광도시 여수서 10일간 공연·행사 풍성
"멜론, 인디음악 활성화 프로젝트 공연 론칭…예매 시작"
"‘제1회 전국 대학 문화 스포츠 페스티벌’···다이나믹 듀오개코, 쏠(SOLE) 축하공연"
"오징어게임 촬영지 '백운시장', 전통시장 활성화 행사 눈길"
여수세계박람회장 활성화로 ‘신해양~ 수도 전남’ 다짐
"고창군, 지역농산물 소비 활성화…로컬푸드 직거래 장터 개장"
"경북도, 전통시장 활성화 나선다...18곳에 1000만원씩 지원"
"의왕시, 골목상권 활성화 기획 '힘내요! 골목상권' 콘서트 실시"
'전국 유랑' 길거리 공연으로 진도 시민들 만난 이준석
"청와대에서 태권도 공연, 관람객 눈길 끌어"
"의왕시, 골목상권 활성화 힐링콘서트 연다"
"박홍복 추진위원장 ""일광낭만가요제, 지역경제 활성화에 일조"""
"해외정상 찾던 청와대 정원서 매주 태권도 공연 ""관광 활성화"""
도내 소상공인 ‘찾아가는 플리마켓’예술인 버스킹 공연·경품도 푸짐
"안양시 만안구, 안양일번가 거리공연 실시"
"[경기 단신]경기도어린이박물관, 여름방학 맞아 '버블쇼' 공연 등"
"멜론, 인디 음악인 공연 프로그램 ‘트랙제로 Alive’ 론칭"
‘아날로그+디지털’ 입힌다…경북 전통시장 활성화 이끌 공모사업 추진
"통영시, 토요정기공연 개최"
"음원 시장 정체…지니뮤직, 공연사업을 성장동력으로"
[공연소식] 국악과 랩·탭댄스의 만남…국악축제 '꼬레아 리듬터치'
"LGU+, 인터파크 여행·공연·스포츠 티켓 구매하면 혜택 준다"
"울산음악창작소, 11월까지 지역음악인 '순위진입단' 공연"
"""K팝 공연+한국 여행, 관광산업 새 수익모델 주목해야"""
"[거창소식] 거창윈드오케스트라, 공연장 육성사업에 선정 등"
"전진선 양평군수, “문화예술공연 활성화 위한 지원 아끼지 않겠다”"
"세종국악관현악단, '무장애 문화향유 활성화 지원사업' 협력단체 참여"
"남해군, 도시재생 사업지서 버스킹 공연"
'전주사회적기업 제품·공연' 만남 시민장터…29일부터 11월까지
"[Pangyo Game & Contents] 멜론, 인디음악 활성화 라이브 공연 '트랙제로 Alive' 론칭"
"사천문화재단, '판페라, 소리의 서막을 열다' 공연…22~23일"
"영동교육청, 찾아가는 문화·예술공연 '소확행' 프로그램 운영"
이사벨 재능기부…한국·베트남 수교 30주년 기념 축하 공연 나선다
"한국문화정보원 문화 포털, 공연시장 활성화 위한 ‘전주티켓박스’ 소개"
"국기원 태권도시범단, 청와대서 상설 시범공연 펼친다"
김병수 김포시장 “민선8기 핵심 교통·소통 활성화할 것”
"부코페, 3년만에 돌아온 '코미디 스트리트'…인디 공연 활성화"
"양평군, 찾아가는 문화활동 공연 활발히 추진중"
"순천문화재단, 민간 공연·전시 활성화 지원"
지역 문화예술인에 무대를… ‘부산공연콘텐츠페스타’ 신설
"목포해상W쇼, 주1회로 축소…16일부터 토요일만 공연"
"경남문화예술회관, 팔도보부상 '이야기보따리' 공연 개최"
